"filename", "language", "JavaScript JSX", "comment", "blank", "total"
"d:\Work\Arcelik\Projects\ArcelikAI\src\components\Quiz\DragAndSortQ.jsx", "JavaScript JSX", 3, 0, 0, 3
"Total", "-", 3, 0, 0, 3
